Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:58:19.602,114299.1,0.001,BTCUSDT
2025-09-29 23:58:19.602,114299.2,0.005,BTCUSDT
2025-09-29 23:58:19.602,114299.3,0.002,BTCUSDT
2025-09-29 23:58:19.602,114299.5,0.001,BTCUSDT
2025-09-29 23:58:19.602,114299.5,0.002,BTCUSDT
2025-09-29 23:58:19.602,114299.5,0.004,BTCUSDT
2025-09-29 23:58:19.602,114299.6,0.001,BTCUSDT
2025-09-29 23:58:19.602,114299.7,0.533,BTCUSDT
2025-09-29 23:58:19.602,114299.7,0.001,BTCUSDT
2025-09-29 23:58:19.602,114299.9,0.002,BTCUSDT
2025-09-29 23:58:19.602,114300.0,1.277,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.1,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.004,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.1,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.005,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.086,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.026,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.01,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.087,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.01,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.051,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.002,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.01,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.021,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.035,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.03,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.144,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.004,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.006,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.043,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.013,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.048,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.002,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.052,BTCUSDT
2025-09-29 23:58:19.602,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114300.0,1.0,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.007,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114300.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114300.3,0.002,BTCUSDT
2025-09-29 23:58:19.603,114300.6,0.002,BTCUSDT
2025-09-29 23:58:19.603,114300.8,0.008,BTCUSDT
2025-09-29 23:58:19.603,114301.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114301.2,0.002,BTCUSDT
2025-09-29 23:58:19.603,114301.3,0.001,BTCUSDT
2025-09-29 23:58:19.603,114301.6,0.001,BTCUSDT
2025-09-29 23:58:19.603,114301.7,0.046,BTCUSDT
2025-09-29 23:58:19.603,114301.8,0.001,BTCUSDT
2025-09-29 23:58:19.603,114301.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114301.9,0.001,BTCUSDT
2025-09-29 23:58:19.603,114302.0,0.041,BTCUSDT
2025-09-29 23:58:19.603,114302.1,0.001,BTCUSDT
2025-09-29 23:58:19.603,114302.1,0.002,BTCUSDT
2025-09-29 23:58:19.603,114302.1,0.001,BTCUSDT
2025-09-29 23:58:19.603,114302.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114302.7,0.018,BTCUSDT
2025-09-29 23:58:19.603,114302.9,0.001,BTCUSDT
2025-09-29 23:58:19.603,114302.9,0.003,BTCUSDT
2025-09-29 23:58:19.603,114303.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114303.2,0.002,BTCUSDT
2025-09-29 23:58:19.603,114303.3,0.001,BTCUSDT
2025-09-29 23:58:19.603,114303.6,0.002,BTCUSDT
2025-09-29 23:58:19.603,114303.6,0.005,BTCUSDT
2025-09-29 23:58:19.603,114303.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.1,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.2,0.001,BTCUSDT
2025-09-29 23:58:19.603,114304.2,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.3,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.5,0.027,BTCUSDT
2025-09-29 23:58:19.603,114304.6,0.05,BTCUSDT
2025-09-29 23:58:19.603,114304.7,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114304.8,0.001,BTCUSDT
2025-09-29 23:58:19.603,114304.8,0.006,BTCUSDT
2025-09-29 23:58:19.603,114304.8,0.009,BTCUSDT
2025-09-29 23:58:19.603,114305.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.1,0.048,BTCUSDT
2025-09-29 23:58:19.603,114305.1,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.2,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.3,0.002,BTCUSDT
2025-09-29 23:58:19.603,114305.3,0.077,BTCUSDT
2025-09-29 23:58:19.603,114305.4,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114305.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114305.7,0.001,BTCUSDT
2025-09-29 23:58:19.603,114305.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114306.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114306.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.0,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.3,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.5,0.002,BTCUSDT
2025-09-29 23:58:19.603,114306.5,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.6,0.002,BTCUSDT
2025-09-29 23:58:19.603,114306.7,0.001,BTCUSDT
2025-09-29 23:58:19.603,114306.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114306.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.2,0.001,BTCUSDT
2025-09-29 23:58:19.603,114307.2,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.3,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.3,0.735,BTCUSDT
2025-09-29 23:58:19.603,114307.4,0.442,BTCUSDT
2025-09-29 23:58:19.603,114307.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.5,0.03,BTCUSDT
2025-09-29 23:58:19.603,114307.5,0.441,BTCUSDT
2025-09-29 23:58:19.603,114307.6,0.001,BTCUSDT
2025-09-29 23:58:19.603,114307.6,0.001,BTCUSDT
2025-09-29 23:58:19.603,114307.6,0.001,BTCUSDT
2025-09-29 23:58:19.603,114307.6,0.065,BTCUSDT
2025-09-29 23:58:19.603,114307.6,0.029,BTCUSDT
2025-09-29 23:58:19.603,114307.7,0.022,BTCUSDT
2025-09-29 23:58:19.603,114307.7,0.017,BTCUSDT
2025-09-29 23:58:19.603,114307.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.8,0.002,BTCUSDT
2025-09-29 23:58:19.603,114307.9,0.965,BTCUSDT
2025-09-29 23:58:19.603,114308.1,0.001,BTCUSDT
2025-09-29 23:58:19.603,114308.4,0.001,BTCUSDT
2025-09-29 23:58:19.603,114308.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114308.4,0.002,BTCUSDT
2025-09-29 23:58:19.603,114308.6,0.003,BTCUSDT
2025-09-29 23:58:19.603,114308.6,0.001,BTCUSDT
2025-09-29 23:58:19.603,114308.7,0.001,BTCUSDT
2025-09-29 23:58:19.603,114308.7,0.002,BTCUSDT
2025-09-29 23:58:19.603,114309.0,0.002,BTCUSDT
2025-09-29 23:58:19.603,114309.1,0.001,BTCUSDT
2025-09-29 23:58:19.603,114309.2,0.029,BTCUSDT
2025-09-29 23:58:19.603,114309.3,1.434,BTCUSDT
2025-09-29 23:58:19.603,114309.5,0.002,BTCUSDT
2025-09-29 23:58:19.603,114309.5,0.184,BTCUSDT
